close,high,low,date
"22,725.00","22,752.00","22,712.50",20178203
"22,720.00","22,745.00","22,709.00",20178202
"22,720.00","22,747.00","22,711.00",20178201
"22,726.00","22,761.00","22,711.50",20170731
"22,728.00","22,748.50","22,714.50",20170728
"22,700.00","22,751.00","22,715.50",20170727
"22,705.00","22,748.50","22,716.00",20170726
"22,725.00","22,752.50","22,716.00",20170725
"22,710.00","22,752.50","22,715.00",20170724
"22,700.00","22,752.50","22,711.50",20170721
"22,725.00","22,749.50","22,717.00",20170720
"22,730.00","22,739.50","22,727.50",20170719
"22,715.00","22,744.00","22,709.50",20170718
"22,715.00","22,762.00","22,707.50",20170717
"22,705.00","22,751.00","22,714.00",20170714
"22,705.00","22,748.00","22,716.00",20170713
"22,705.00","22,755.00","22,711.00",20170712
"22,700.00","22,768.50","22,716.50",20170711
"22,705.00","22,773.50","22,721.50",20170710
"22,705.00","22,762.00","22,721.50",20177207
"22,730.00","22,757.00","22,724.50",20177206
"22,735.00","22,759.00","22,719.50",20177205
"22,736.00","22,753.50","22,718.00",20177204
"22,735.00","22,752.50","22,717.00",20177203
"22,700.00","22,752.00","22,713.00",20170630
"22,725.00","22,756.50","22,720.00",20170629
"22,725.00","22,761.00","22,718.50",20170628
"22,700.00","22,759.00","22,713.00",20170627
"22,705.00","22,752.50","22,710.00",20170626
"22,710.00","22,740.00","22,708.00",20170623
"22,670.00","22,741.00","22,687.50",20170622
"22,675.00","22,743.00","22,696.50",20170621
"22,720.00","22,740.50","22,685.00",20170620
"22,700.00","22,761.00","22,671.00",20170619
"22,685.00","22,700.00","22,668.00",20170616
"22,670.00","22,728.00","22,670.50",20170615
"22,700.00","22,720.00","22,683.50",20170614
"22,690.00","22,716.50","22,675.00",20170613
"22,685.00","22,710.50","22,671.00",20170612
"22,675.00","22,709.00","22,670.00",20176209
"22,685.00","22,767.50","22,673.00",20176208
"22,700.00","22,740.50","22,686.00",20176207
"22,700.00","22,740.50","22,700.00",20176206
"22,700.00","22,728.50","22,695.00",20176205
"22,675.00","22,733.00","22,688.00",20176202
"22,700.00","22,728.00","22,679.00",20176201
"22,710.00","22,730.50","22,687.50",20170531
"22,700.00","22,776.50","22,691.00",20170530
"22,740.00","22,762.00","22,637.50",20170529
"22,675.00","22,750.00","22,685.00",20170526
"22,625.00","22,706.50","22,654.00",20170525
"22,600.00","22,706.50","22,642.00",20170524
"22,675.00","22,730.00","22,670.50",20170523
"22,625.00","22,748.00","22,660.50",20170522
"22,600.00","22,725.00","22,650.00",20170519
"22,680.00","22,713.00","22,670.50",20170518
"22,630.00","22,702.00","22,656.50",20170517
"22,600.00","22,697.50","22,640.00",20170516
"22,678.00","22,736.50","22,664.00",20170515
"22,690.00","22,765.50","22,672.00",20170512
"22,722.00","22,763.00","22,707.50",20170511
"22,738.00","22,754.00","22,713.50",20170510
"22,730.00","22,752.50","22,716.50",20175209
"22,690.00","22,755.00","22,710.00",20175208
"22,730.00","22,755.50","22,713.00",20175205
"22,740.00","22,769.00","22,718.00",20175204
"22,740.00","22,762.00","22,718.00",20175203
"22,700.00","22,700.00","22,700.00",20175202
"22,700.00","22,762.50","22,740.00",20175201
"22,740.00","22,755.00","22,709.50",20170428
"22,730.00","22,766.00","22,717.00",20170427
"22,710.00","22,769.50","22,697.50",20170426
"22,760.00","22,770.00","22,707.50",20170425
"22,715.00","22,735.00","22,690.00",20170424
"22,650.00","22,767.50","22,682.00",20170421
"22,690.00","22,763.50","22,712.00",20170420
